Unnamed: 0,event_id,event_type,login,repository,created_at,action,PR_number,state,PR_node_id,review_state,review_node_id,push_id,PR_closed_at,num_comments,comment_node_id,merged,ref,ref_type,issue_number,issue_node_id,issue_closed_at,tag_name,release_node_id,org
163,39747766396,CreateEvent,dependabot[bot],SciML/EasyModelAnalysis.jl,2024-07-01 00:34:53,,,,,,,,,,,,dependabot/github_actions/actions/add-to-project-1.0.2,branch,,,,,,SciML
164,39747766717,PullRequestEvent,dependabot[bot],SciML/EasyModelAnalysis.jl,2024-07-01 00:34:55,opened,261.0,open,PR_kwDOI1YYHs50AC5Y,,,,,,,False,,,,,,,,SciML
360,39748962606,DeleteEvent,editorialbot,openjournals/joss-papers,2024-07-01 02:00:22,,,,,,,,,,,,joss.06287,branch,,,,,,openjournals
361,39748962410,DeleteEvent,editorialbot,openjournals/joss-papers,2024-07-01 02:00:22,,,,,,,,,,,,joss.06789,branch,,,,,,openjournals
369,39749032522,CreateEvent,renovate[bot],OSGeo/grass,2024-07-01 02:04:56,,,,,,,,,,,,renovate/pdal-pdal-2.x,branch,,,,,,OSGeo
370,39749033175,PullRequestEvent,renovate[bot],OSGeo/grass,2024-07-01 02:04:58,opened,3960.0,open,PR_kwDOCykpn850AZPk,,,,,,,False,,,,,,,,OSGeo
398,39749355018,CreateEvent,dependabot[bot],pymc-devs/pymc,2024-07-01 02:26:02,,,,,,,,,,,,dependabot/github_actions/docker/build-push-action-6.2.0,branch,,,,,,pymc-devs
399,39749355414,PullRequestEvent,dependabot[bot],pymc-devs/pymc,2024-07-01 02:26:03,opened,7396.0,open,PR_kwDOAALxiM50Ad10,,,,,,,False,,,,,,,,pymc-devs
400,39749355846,IssueCommentEvent,dependabot[bot],pymc-devs/pymc,2024-07-01 02:26:05,created,7383.0,closed,PR_kwDOAALxiM5zTaJ4,,,,2024-07-01T02:26:04Z,1.0,IC_kwDOAALxiM6DEhbD,,,,,,,,,pymc-devs
401,39749355890,PullRequestEvent,dependabot[bot],pymc-devs/pymc,2024-07-01 02:26:05,closed,7383.0,closed,PR_kwDOAALxiM5zTaJ4,,,,,,,False,,,,,,,,pymc-devs
402,39749355963,DeleteEvent,dependabot[bot],pymc-devs/pymc,2024-07-01 02:26:06,,,,,,,,,,,,dependabot/github_actions/docker/build-push-action-6.1.0,branch,,,,,,pymc-devs
403,39749356290,CreateEvent,dependabot[bot],conda/conda-content-trust,2024-07-01 02:26:07,,,,,,,,,,,,dependabot/github_actions/dot-github/workflows/actions/add-to-project-1.0.2,branch,,,,,,conda
405,39749356626,PullRequestEvent,dependabot[bot],conda/conda-content-trust,2024-07-01 02:26:08,opened,138.0,open,PR_kwDODMDHPs50Ad3T,,,,,,,False,,,,,,,,conda
425,39749630795,CreateEvent,dependabot[bot],OSGeo/gdal,2024-07-01 02:44:55,,,,,,,,,,,,dependabot/github_actions/github/codeql-action-3.25.11,branch,,,,,,OSGeo
426,39749631093,PullRequestEvent,dependabot[bot],OSGeo/gdal,2024-07-01 02:44:56,opened,10343.0,open,PR_kwDOAF3Q3c50Ah4X,,,,,,,False,,,,,,,,OSGeo
427,39749632868,CreateEvent,dependabot[bot],OSGeo/gdal,2024-07-01 02:45:04,,,,,,,,,,,,dependabot/github_actions/actions/checkout-4.1.7,branch,,,,,,OSGeo
428,39749633262,PullRequestEvent,dependabot[bot],OSGeo/gdal,2024-07-01 02:45:06,opened,10344.0,open,PR_kwDOAF3Q3c50Ah6S,,,,,,,False,,,,,,,,OSGeo
483,39750355323,CreateEvent,dependabot[bot],pangeo-data/pangeo-docker-images,2024-07-01 03:33:44,,,,,,,,,,,,dependabot/github_actions/docker/build-push-action-6,branch,,,,,,pangeo-data
484,39750355760,PullRequestEvent,dependabot[bot],pangeo-data/pangeo-docker-images,2024-07-01 03:33:45,opened,565.0,open,PR_kwDODmUTS850AsCH,,,,,,,False,,,,,,,,pangeo-data
496,39750630998,PushEvent,petscbot,petsc/petsc,2024-07-01 03:53:28,,,,,,,19114650059.0,,,,,,,,,,,,petsc
497,39750663713,PushEvent,petscbot,petsc/petsc,2024-07-01 03:55:58,,,,,,,19114667195.0,,,,,,,,,,,,petsc
683,39751489559,IssuesEvent,nsajko,JuliaLang/julia,2024-07-01 04:49:12,opened,,open,,,,,,0.0,,,,,54986.0,I_kwDOABkWpM6OBr_u,,,,JuliaLang
745,39752329883,CreateEvent,dependabot[bot],yt-project/yt,2024-07-01 05:35:04,,,,,,,,,,,,dependabot/github_actions/dot-github/workflows/actions-dd70205058,branch,,,,,,yt-project
746,39752330506,PullRequestEvent,dependabot[bot],yt-project/yt,2024-07-01 05:35:05,opened,4935.0,open,PR_kwDOBUqfLc50BNA3,,,,,,,False,,,,,,,,yt-project
946,39754199829,CommitCommentEvent,nanosoldier,JuliaLang/julia,2024-07-01 06:55:40,,,,,,,,,,CC_kwDOABkWpM4IkNXs,,,,,,,,,JuliaLang
1020,39754862059,CreateEvent,dependabot[bot],yt-project/ewah_bool_utils,2024-07-01 07:18:50,,,,,,,,,,,,dependabot/github_actions/dot-github/workflows/actions-dd70205058,branch,,,,,,yt-project
1035,39755107356,CreateEvent,dependabot[bot],pydata/pydata-sphinx-theme,2024-07-01 07:26:43,,,,,,,,,,,,dependabot/github_actions/actions/upload-artifact-4,branch,,,,,,pydata
1036,39755108091,PullRequestEvent,dependabot[bot],pydata/pydata-sphinx-theme,2024-07-01 07:26:45,opened,1911.0,open,PR_kwDOB8NEQs50B2iV,,,,,,,False,,,,,,,,pydata
1042,39755214032,DeleteEvent,dependabot[bot],yt-project/ewah_bool_utils,2024-07-01 07:30:11,,,,,,,,,,,,dependabot/github_actions/dot-github/workflows/actions-dd70205058,branch,,,,,,yt-project
1069,39755694811,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 07:45:33,created,,open,,,,,,38.0,IC_kwDOAx6EUs6DGSwp,,,,5572.0,I_kwDOAx6EUs5pHh17,,,,openjournals
1106,39756123122,IssueCommentEvent,DanRyanIrish,sunpy/ndcube,2024-07-01 07:59:15,created,726.0,open,PR_kwDOBfvpIM5yOp6j,,,,,3.0,IC_kwDOBfvpIM6DGY6z,,,,,,,,,sunpy
1109,39756139065,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 07:59:45,created,,open,,,,,,12.0,IC_kwDOAx6EUs6DGZI_,,,,6942.0,I_kwDOAx6EUs6N5sRM,,,,openjournals
1110,39756148894,PushEvent,ilan-gold,scverse/rapids_singlecell,2024-07-01 08:00:04,,,,,,,19117329306.0,,,,,,,,,,,,scverse
1116,39756223694,IssueCommentEvent,coveralls,OSGeo/gdal,2024-07-01 08:02:17,created,10343.0,closed,PR_kwDOAF3Q3c50Ah4X,,,,2024-07-01T07:25:39Z,1.0,IC_kwDOAF3Q3c6DGaV8,,,,,,,,,OSGeo
1120,39756274811,PushEvent,ilan-gold,scverse/rapids_singlecell,2024-07-01 08:03:51,,,,,,,19117388979.0,,,,,,,,,,,,scverse
1138,39756454053,IssueCommentEvent,betatim,scikit-learn/scikit-learn,2024-07-01 08:09:19,created,,open,,,,,,7.0,IC_kwDOAAzd1s6DGdxd,,,,29360.0,I_kwDOAAzd1s6NzMyQ,,,,scikit-learn
1159,39756702018,IssueCommentEvent,betatim,scikit-learn/scikit-learn,2024-07-01 08:16:46,created,29373.0,open,PR_kwDOAAzd1s50BC6j,,,,,2.0,IC_kwDOAAzd1s6DGhXp,,,,,,,,,scikit-learn
1165,39756818976,PullRequestEvent,jtpio,jupyter/notebook,2024-07-01 08:20:15,opened,7416.0,open,PR_kwDOAgGDYc50CO-9,,,,,,,False,,,,,,,,jupyter
1173,39757015867,PullRequestEvent,dependabot[bot],fortran-lang/webpage,2024-07-01 08:26:08,opened,431.0,open,PR_kwDOHubBe850CRsh,,,,,,,False,,,,,,,,fortran-lang
1205,39757371852,IssueCommentEvent,coveralls,OSGeo/gdal,2024-07-01 08:36:50,created,10344.0,closed,PR_kwDOAF3Q3c50Ah6S,,,,2024-07-01T07:25:59Z,1.0,IC_kwDOAF3Q3c6DGq5m,,,,,,,,,OSGeo
1217,39757510643,CreateEvent,transifex-integration[bot],pydata/pydata-sphinx-theme,2024-07-01 08:41:00,,,,,,,,,,,,translations_79592a50a377d7a120926189491c3d76_fr,branch,,,,,,pydata
1218,39757512740,PullRequestEvent,transifex-integration[bot],pydata/pydata-sphinx-theme,2024-07-01 08:41:04,opened,1913.0,open,PR_kwDOB8NEQs50CYg6,,,,,,,False,,,,,,,,pydata
1263,39758155016,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 08:59:59,created,,open,,,,,,33.0,IC_kwDOAx6EUs6DG2Ow,,,,6931.0,I_kwDOAx6EUs6NnwCR,,,,openjournals
1273,39758330278,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 09:04:53,created,,closed,,,,,,91.0,IC_kwDOAx6EUs6DG4wr,,,,5744.0,I_kwDOAx6EUs5tt4qE,2024-01-16T16:00:32Z,,,openjournals
1276,39758375340,CreateEvent,editorialbot,openjournals/joss-papers,2024-07-01 09:06:08,,,,,,,,,,,,joss.05744,branch,,,,,,openjournals
1277,39758377926,PushEvent,editorialbot,openjournals/joss-papers,2024-07-01 09:06:12,,,,,,,19118358474.0,,,,,,,,,,,,openjournals
1278,39758377600,PushEvent,editorialbot,openjournals/joss-papers,2024-07-01 09:06:12,,,,,,,19118358307.0,,,,,,,,,,,,openjournals
1279,39758378150,PushEvent,editorialbot,openjournals/joss-papers,2024-07-01 09:06:13,,,,,,,19118358581.0,,,,,,,,,,,,openjournals
1280,39758387011,PullRequestEvent,editorialbot,openjournals/joss-papers,2024-07-01 09:06:27,opened,5559.0,open,PR_kwDOA31exc50Ckzb,,,,,,,False,,,,,,,,openjournals
1281,39758390372,DeleteEvent,editorialbot,openjournals/joss-papers,2024-07-01 09:06:33,,,,,,,,,,,,joss.05744,branch,,,,,,openjournals
1282,39758390377,PushEvent,editorialbot,openjournals/joss-papers,2024-07-01 09:06:33,,,,,,,19118364054.0,,,,,,,,,,,,openjournals
1283,39758390100,PullRequestEvent,editorialbot,openjournals/joss-papers,2024-07-01 09:06:33,closed,5559.0,closed,PR_kwDOA31exc50Ckzb,,,,,,,True,,,,,,,,openjournals
1284,39758396266,IssueCommentEvent,editorialbot,openjournals/joss-reviews,2024-07-01 09:06:43,created,,closed,,,,,,92.0,IC_kwDOAx6EUs6DG5xW,,,,5744.0,I_kwDOAx6EUs5tt4qE,2024-01-16T16:00:32Z,,,openjournals
1306,39758678411,PushEvent,jtpio,jupyter/notebook,2024-07-01 09:14:50,,,,,,,19118500293.0,,,,,,,,,,,,jupyter
1307,39758678078,PullRequestEvent,jtpio,jupyter/notebook,2024-07-01 09:14:50,closed,7416.0,closed,PR_kwDOAgGDYc50CO-9,,,,,,,True,,,,,,,,jupyter
1313,39758768850,IssueCommentEvent,ilan-gold,scverse/anndata,2024-07-01 09:17:31,created,,open,,,,,,1.0,IC_kwDOBfZ26c6DG_I_,,,,1548.0,I_kwDOBfZ26c6ODPdi,,,,scverse
1318,39758813746,IssuesEvent,ilan-gold,scverse/anndata,2024-07-01 09:18:50,opened,,open,,,,,,0.0,,,,,1549.0,I_kwDOBfZ26c6ODk-g,,,,scverse
1329,39759065364,IssueCommentEvent,ilan-gold,scverse/anndata,2024-07-01 09:26:01,created,,open,,,,,,1.0,IC_kwDOBfZ26c6DHDV0,,,,1549.0,I_kwDOBfZ26c6ODk-g,,,,scverse
